,postal_code,building_shifting_total_area,type,total_floor,building_state,main_use,building_materials,building_age,building_room_num,building_hall_num,building_bathroom_num,residential_guard,building_price,berth,elevator
0,236,33.408,73,27,1,2,17,1005,1,2,1,1,13130000,1,1
1,236,56.625,73,27,1,2,17,1005,3,2,2,1,24500000,1,1
2,236,60.252,73,27,1,2,17,1005,3,2,2,1,26800000,1,1
3,236,33.408,73,27,1,2,17,1005,1,2,1,1,13420000,1,1
4,220,7.741,73,15,1,3,4,10748,1,0,1,1,3130000,0,1
5,236,32.422,75,32,1,6,22,783,1,0,0,1,15050000,0,1
6,236,93.881,73,22,1,2,17,1005,4,2,3,1,38880000,1,1
7,220,34.143,107,14,1,39,1,9531,2,2,2,1,11500000,0,1
8,236,82.558,73,22,1,2,17,1005,4,2,2,1,31200000,1,1
9,220,50.064,75,19,1,2,1,265,3,2,2,1,19110000,1,1
10,220,41.143,75,19,1,6,1,265,0,0,0,1,13670000,1,1
11,220,30.77,75,19,1,6,1,265,0,0,0,1,9730000,1,1
12,220,30.471,75,19,1,6,1,265,0,0,0,1,9950000,1,1
13,220,20.67,75,19,1,2,1,1111,2,1,1,1,10200000,0,1
14,220,21.686,83,5,3,3,1,0,4,0,4,0,7150000,0,0
15,220,23.347,73,4,3,3,2,0,3,2,1,0,18000000,0,0
16,220,125.232,107,10,2,39,1,11452,0,0,0,1,32500000,1,1
17,236,27.515,62,5,3,3,1,13279,3,2,2,0,9400000,0,0
18,220,26.088,108,5,3,3,1,0,3,2,2,0,8250000,0,0
19,244,65.464,68,13,1,3,1,4858,3,2,2,1,18500000,1,1
20,244,73.795,68,14,1,3,1,11733,0,0,0,1,42780000,1,1
21,248,41.73,73,15,1,2,1,2906,3,2,2,1,12600000,1,1
22,244,43.823,68,13,1,3,1,5237,3,2,2,1,12200000,1,1
23,244,27.527,68,10,2,3,1,9688,3,2,2,1,9320000,1,1
24,242,71.42,65,19,1,10,3,1812,0,0,0,1,25640000,1,1
25,248,75.8,73,9,2,2,1,1960,4,2,2,1,19930000,1,1
26,242,40.989,73,14,1,3,1,5975,3,2,2,1,14150000,1,1
27,242,27.875,73,15,1,3,1,4771,1,1,1,1,8680000,1,1
28,244,38.182,68,13,1,3,1,5237,2,2,1,1,10300000,1,1
29,242,38.802,73,12,1,3,1,6188,3,2,2,1,17100000,0,1
30,242,43.1,73,14,1,2,1,3316,3,2,2,1,15800000,1,1
31,242,29.808,62,21,1,2,1,2416,2,2,1,1,14980000,1,1
32,242,24.13,73,16,1,3,1,9582,2,2,1,1,8500000,0,1
33,248,27.503,73,9,2,3,1,6305,2,2,1,1,7830000,0,1
34,244,71.351,68,28,1,2,1,263,3,2,2,1,27450000,1,1
35,244,73.828,68,28,1,2,1,263,3,2,2,1,30600000,1,1
36,244,55.53,68,28,1,2,1,263,3,2,2,1,20780000,1,1
37,244,55.53,68,28,1,2,1,263,3,2,2,1,21700000,1,1
38,244,55.53,68,28,1,2,1,263,3,2,2,1,21350000,1,1
39,244,45.263,62,11,1,2,1,1973,2,2,2,1,12120000,1,1
40,243,30.522,75,13,1,3,1,6291,2,2,1,1,10840000,1,1
41,242,14.202,73,4,3,3,2,16817,1,1,1,0,6150000,0,0
42,242,33.765,73,12,1,3,1,5830,2,2,1,1,12850000,1,1
43,242,17.796,63,24,1,10,1,1568,0,0,0,1,9150000,0,1
44,242,25.455,73,4,3,3,1,15314,3,1,2,0,5750000,0,0
45,244,68.199,109,19,1,3,1,5200,3,2,2,1,16350000,1,1
46,248,48.878,73,9,2,3,1,6938,3,2,2,1,9500000,1,1
47,244,31.475,68,11,1,3,1,9482,7,0,2,1,8300000,1,1
48,244,31.484,68,14,1,3,1,10088,2,1,1,1,7300000,1,1
49,244,31.493,74,4,3,3,1,13206,3,3,1,0,7500000,0,0
50,231,34.019,3,5,3,3,1,11683,3,2,2,0,10000000,0,0
51,231,27.334,74,29,1,3,1,8013,2,2,1,1,15860000,0,1
52,231,70.495,74,23,1,3,1,3778,4,2,2,1,40000000,1,1
53,231,20.661,74,4,3,3,2,16356,2,2,2,0,8950000,0,0
54,222,36.73,73,8,2,3,1,10062,3,2,2,1,11400000,1,1
55,231,37.51,3,12,1,3,1,10118,3,1,2,1,12000000,0,1
56,221,22.309,62,24,1,3,1,9847,1,1,1,1,8800000,0,1
57,221,53.561,76,12,1,3,1,8043,3,2,2,1,13000000,1,1
58,221,39.013,62,5,3,3,1,11897,3,2,2,1,15600000,0,0
59,221,21.804,62,14,1,3,1,10203,2,2,1,1,8400000,0,1
60,221,28.768,62,10,2,2,8,785,1,1,1,1,12350000,1,1
61,221,39.098,62,15,1,2,8,207,2,2,2,0,16500000,1,1
